level_0,patient1,patient2,patient3,patient4
LINC00992,16,44,24,28
DTWD2,467,804,709,537
LOC101927280,1,0,0,2
TNFAIP8,791,1620,854,1692
PRR16,26,8,67,62
LOC100505841,0,0,0,0
SNCAIP,57,8,35,101
LOC101927379,0,0,0,0
SNX2,5281,6049,7338,6425
SNX24,647,745,972,949
CSNK1G3,1705,2015,2251,2528
ZNF608,1289,1395,1496,2274
LOC101927421,0,0,1,0
LOC101927460,1,0,0,0
MARCH3,221,370,282,630
PHAX,2015,2429,3071,2819
MEGF10,33,21,20,36
FBN2,4,2,2,14
LINC01184,354,673,571,581
SLC27A6,355,557,263,485
CHSY3,12,18,12,26
RAPGEF6,1473,1761,1740,1525
CDC42SE2,6513,5215,7596,8193
ACSL6,597,338,678,351
PDLIM4,698,547,678,1154
LOC728637,6,0,2,0
SLC22A5,1127,1228,840,1371
AFF4,13709,13745,18126,14410
FSTL4,1568,3032,1283,4330
C5orf15,5663,6317,7866,7618
CDKL3,161,150,211,225
CAMLG,2506,2469,3186,2931
SAR1B,8245,10239,9976,9183
C5orf66,134,147,135,213
LOC389332,632,335,872,1195
TRPC7,1,1,4,8
TGFBI,1074,443,942,4338
PKD2L2,0,2,4,9
KLHL3,1079,831,1181,1267
CDC25C,4,30,10,9
BRD8,2578,2857,3141,3593
CTNNA1,14169,16629,16276,29372
KDM3B,4183,4001,5784,5903
ECSCR,12,0,87,19
PSD2,31,6,147,23
NRG2,298,238,164,216
PCDHA12,88,69,74,71
HBEGF,123,156,149,338
PCDHA9,16,83,68,18
PCDHAC2,699,394,666,652
ANKHD1,310,336,474,525
ANKHD1-EIF4EBP3,40,34,30,63
PCDHA8,82,62,31,76
PCDHA6,475,230,397,348
PCDHA7,52,64,68,95
PCDHA2,170,141,137,150
PCDHA1,260,157,280,227
CYSTM1,8733,8015,10257,13125
PCDHA10,6,159,66,277
PCDHAC1,280,209,265,364
PCDHA4,368,511,348,607
PCDHA3,411,451,406,550
PCDHA5,341,250,278,336
PCDHA13,11,25,15,10
PCDHA11,289,153,181,113
ARAP3,66,37,160,155
PCDHGA6,88,104,90,100
PCDHGA5,130,66,96,134
PCDHGB4,110,108,174,140
PCDHGA1,50,64,47,70
PCDHGB3,88,67,59,84
PCDHGA4,138,167,177,173
PCDHGA3,84,97,94,117
DIAPH1,5887,7760,6684,11884
PCDHGB2,137,97,113,128
PCDHGA7,126,75,80,100
PCDHGB1,158,175,126,124
PCDHGA2,307,513,374,427
LOC101926941,16,2,5,22
NR3C1,6348,8660,9577,7221
SH3RF2,70,198,47,197
RBM27,2063,2558,2995,2853
PPP2R2B,568,242,632,1184
TCERG1,1630,1780,2573,2252
STK32A,419,315,412,661
SPINK6,0,0,0,0
JAKMIP2,1301,1513,1213,1537
SPINK5,0,4,4,2
SPINK9,0,1,4,1
LOC102546294,40,42,37,31
ABLIM3,99,116,206,509
SH3TC2,19,21,14,102
PPARGC1B,137,53,175,149
PDE6A,0,0,0,0
HMGXB3,3103,3148,3583,4095
CDX1,6,0,3,8
CCDC69,334,614,301,596
SLC36A1,633,555,532,813
RBM22,2124,2093,2662,2793
GLRA1,563,618,862,250
ATOX1,1127,1048,1043,1832
NMUR2,4,2,0,20
CTB-12O2.1,31,30,49,24
GALNT10,2147,2288,2214,4344
GEMIN5,1237,1063,1567,1621
SGCD,174,349,514,371
ITK,0,4,7,4
TIMD4,0,0,2,0
NIPAL4,11,6,0,58
CYFIP2,4606,4139,4946,4993
LOC101927697,0,0,0,0
RNF145,5322,6344,7203,6031
LOC101927766,0,0,0,0
ATP10B,887,2213,728,3340
PWWP2A,1307,1142,1575,1591
C1QTNF2,4,0,0,0
FABP6,1,1,0,5
GABRB2,18,38,46,8
SLIT3,168,45,134,147
FAM196B,6,69,6,23
DOCK2,70,62,71,106
RANBP17,64,52,77,90
FBXW11,6582,7370,8307,7503
UBTD2,1603,1753,2053,2105
STK10,706,751,857,1287
SH3PXD2B,1066,1409,1159,2545
STC2,3504,1080,3570,3488
CREBRF,2262,2225,3117,2444
NEURL1B,624,264,559,721
ERGIC1,4717,8040,5531,11660
LOC101928136,13,15,43,10
SIMC1,518,430,759,519
FAF2,3843,4287,4734,4903
GPRIN1,2259,1867,1952,2221
FAM153B,4,6,6,3
CPLX2,26065,24298,29985,20405
UIMC1,1077,1665,1376,1536
SLC34A1,0,0,0,0
NSD1,4121,3473,4364,4998
FAM193B,884,957,1049,1198
UNC5A,94,97,436,64
LOC202181,166,129,171,108
COL23A1,0,0,0,1
FAM153C,17,4,22,16
ZNF454,163,155,160,99
MAML1,2020,1753,2400,2374
ADAMTS2,2623,2205,4039,3414
HNRNPH1,6646,6916,9113,9546
MGAT1,4534,5921,5530,7354
MAPK9,3936,3892,4945,4427
RASGEF1C,0,4,2,3
RNF130,6148,8945,7411,9159
CNOT6,1905,1793,2428,2552
BTNL9,4,13,4,4
PLEKHG4B,3,24,15,40
CCDC127,894,660,706,1083
SDHA,3905,5060,3756,6741
LRRC14B,0,0,2,4
PDCD6,3643,4194,3610,5420
LOC102467073,17,19,8,19
EXOC3,1949,2221,2236,3360
PP7080,1214,1400,1566,1545
C5orf55,357,397,465,416
CEP72,136,146,139,221
LOC100996325,1,0,0,0
MIR4456,0,0,0,0
TPPP,2666,3306,2556,2259
ZDHHC11,128,34,45,43
BRD9,819,615,968,1253
NKD2,19,39,18,70
LOC100506688,26,28,2,38
SLC12A7,3264,5599,3496,7761
MIR4635,0,0,0,1
CTD-3080P12.3,6,0,35,36
TERT,0,0,0,0
SLC6A18,2,0,0,2
MIR4457,0,0,0,0
SLC6A19,196,88,264,638
CLPTM1L,5081,5593,5019,7061
MIR6075,0,0,0,0
LPCAT1,3161,3046,3033,5142
LOC728613,180,321,246,294
MRPL36,746,818,856,926
NDUFS6,1415,2029,1851,2870
MIR4277,0,0,0,0
IRX4,6,6,6,4
CTD-2194D22.4,0,0,0,0
LOC101929034,0,0,0,0
MIR548BA,0,0,0,0
LOC100506858,0,0,0,1
IRX2,3227,778,3832,3401
LINC01377,0,0,0,0
LINC01019,0,0,0,0
LINC01017,0,0,0,0
IRX1,488,90,582,346
LOC101929153,0,0,0,0
LINC01020,0,1,0,0
CTD-2297D10.2,0,2,0,0
ICE1,3724,3470,4520,3911
MED10,856,1060,1150,1302
FLJ33360,4,0,3,2
UBE2QL1,4580,4171,7335,3052
NSUN2,2708,3639,3650,3761
SRD5A1,2447,4897,3523,2170
LINC01018,649,922,1094,496
PAPD7,1869,1608,2262,2154
LOC100505625,12,16,16,8
MIR4278,0,0,2,0
MIR4454,0,0,0,0
LOC442132,0,0,0,3
C5orf49,61,49,207,103
MTRR,1406,1643,1692,1828
MIR4458HG,408,498,797,618
MIR4458,0,0,0,0
LOC101929284,0,0,0,0
MIR4636,0,0,0,0
SNHG18,119,253,111,335
CTD-2201E9.1,0,2,1,1
SNORD123,0,0,0,0
TAS2R1,0,0,0,0
FAM173B,925,1040,816,1047
CCT5,7768,10355,9107,13166
CMBL,2699,3078,2766,3193
ROPN1L,0,6,2,0
ROPN1L-AS1,1,11,0,4
MIR6131,0,0,0,0
LOC101929412,0,23,0,11
FAM105A,4488,6805,7991,4343
LOC100130744,129,207,181,189
MIR4637,0,0,0,0
CTD-2350J17.1,0,0,0,0
ZNF622,1732,2029,1941,2492
LOC101929524,24,13,11,18
BASP1,217,106,156,391
LOC401177,0,0,0,0
PRDM9,0,0,2,0
LOC340107,0,0,0,0
LINC01021,2,14,8,7
LSP1P3,1,4,9,2
LOC101929645,0,0,0,0
LOC101929681,0,0,0,0
C5orf22,1029,1651,1519,1650
MIR4279,0,0,0,0
GOLPH3,6551,7275,6364,9005
SUB1,4201,4648,5862,7058
LOC340113,0,0,0,0
TARS,12709,7275,13489,10084
RXFP3,108,79,185,52
AMACR,410,607,457,365
C1QTNF3,212,188,146,232
DNAJC21,2291,2257,2445,2808
RAD1,1850,1812,2220,2033
BRIX1,907,1378,1555,1644
AGXT2,0,0,0,1
IL7R,5,10,18,95
UGT3A1,0,2,0,0
LOC100506406,0,0,0,0
MIR580,0,0,0,0
LMBRD2,1573,1703,1976,1227
NADK2,1169,1526,1393,1643
RANBP3L,15,85,0,6
SLC1A3,8,43,45,44
LOC646719,1660,1044,1943,1395
GDNF,32,91,56,64
GDNF-AS1,6,13,4,2
EGFLAM-AS4,0,0,0,0
EGFLAM-AS2,0,0,0,0
MIR3650,0,0,0,0
LINC01265,0,0,0,0
DAB2,401,728,756,1490
LOC101926940,0,0,4,2
LINC00603,0,0,0,0
TTC33,2054,1810,2237,2106
PTGER4,218,191,210,563
CARD6,217,567,260,906
LOC100506548,3086,2810,6411,2634
RPL37,10767,14891,15024,23876
SNORD72,0,0,0,0
C7,258,155,79,197
C5orf51,2557,2726,3326,3436
FBXO4,244,513,304,525
OXCT1-AS1,17,20,17,25
LOC101926960,0,0,0,0
SEPP1,1442,1697,1603,1113
CCDC152,135,365,302,234
LOC100132356,54,89,92,78
LOC153684,10,2,0,19
LOC648987,14,7,14,27
LOC100506639,115,136,124,130
ANXA2R,0,1,2,6
HMGCS1,5108,5108,6054,10457
C5orf28,1015,1292,1094,1234
C5orf34,28,73,39,65
PAIP1,1690,1953,2129,2137
NNT-AS1,722,821,873,851
FGF10,8,35,12,9
FGF10-AS1,0,14,0,4
MRPS30,1016,1485,1380,1519
LOC100506674,204,232,237,256
EMB,2340,4134,3224,3559
LOC100287592,111,75,142,207
ISL1,6038,3759,7738,9968
LOC642366,956,499,734,810
PELO,2254,1748,2200,2866
MOCS2,2798,3132,3538,3597
LOC257396,150,222,242,229
FST,11,26,12,82
MIR581,0,0,0,0
HSPB3,4,0,2,0
SNX18,2207,2820,2870,2739
LOC102467081,0,0,0,0
ESM1,473,10,2360,344
GZMK,0,0,0,0
MIR449C,0,0,0,0
MCIDAS,2,11,4,26
GZMA,0,10,0,8
CDC20B,0,0,0,0
MIR449A,0,0,0,0
MIR449B,0,0,0,0
GPX8,400,709,401,1071
CCNO,9,88,25,58
DHX29,2914,3294,3496,3479
RNF138P1,54,40,65,50
MIR5687,0,0,0,0
SLC38A9,496,616,620,796
IL6ST,9385,9935,9759,14160
FLJ31104,10,13,15,13
LOC102467147,0,2,0,6
MAP3K1,1165,1470,1233,1927
SETD9,281,173,311,267
ACTBL2,4,7,2,25
LOC101928505,1,2,0,0
LOC101928539,0,0,0,2
GAPT,8,0,15,4
PLK2,13652,5516,10630,14387
LOC101928600,0,0,0,0
PART1,227,117,139,350
ELOVL7,1106,1386,887,1442
ERCC8,473,564,576,527
SMIM15,3165,4208,4417,4468
CTC-436P18.1,0,1,7,3
LOC100506526,0,0,0,0
LOC101928651,0,0,0,0
DIMT1,759,826,842,1157
LRRC70,1,4,51,14
IPO11-LRRC70,0,0,0,0
HTR1A,0,4,2,0
SREK1IP1,2762,2586,3144,3048
FAM159B,3073,8467,2253,5157
CENPK,12,76,36,35
TRAPPC13,1705,2483,2657,2423
TRIM23,1627,1730,2207,1859
NLN,931,1306,974,1770
LOC100303749,0,0,0,0
SREK1,3119,3089,3047,3926
LOC101928769,0,0,0,0
LOC101928794,44,108,65,104
CD180,24,4,48,26
LOC102467655,0,1,0,0
PIK3R1,1962,2236,1982,2114
CCNB1,182,409,259,349
MRPS36,973,1272,1323,1572
CENPH,100,178,205,232
AK6,1235,1433,1806,1763
CCDC125,603,697,608,942
TAF9,2862,3878,3590,3886
MARVELD2,898,1340,1399,1542
LOC100272216,0,0,1,2
GTF2H2C,4,5,6,8
GTF2H2C_2,2,8,2,9
SMN2,0,0,0,0
SMN1,0,0,0,0
LOC441081,1,1,0,12
NAIP,7,19,40,20
GTF2H2,62,66,87,0
PMCHL2,0,0,0,0
CARTPT,251,74,81,264
MIR4803,0,0,0,0
PTCD2,295,337,372,376
ZNF366,8,0,10,11
LOC102503427,0,0,0,0
LOC102477328,0,0,1,1
MIR4804,0,0,0,0
TNPO1,10055,9581,12307,11013
TMEM171,38,120,61,147
TMEM174,0,0,0,0
FOXD1,0,4,0,6
BTF3,8160,9543,11705,13752
ANKRA2,1021,1126,1085,1416
LINC01333,0,0,0,0
LINC01335,0,0,0,0
HEXB,11327,18196,12214,22003
FAM169A,2512,1841,3299,1328
NSA2,2844,3565,5376,4850
GCNT4,584,605,1185,841
HMGCR,9365,6378,10762,10521
ANKDD1B,42,41,43,69
F2RL2,41,22,30,136
NCRUPAR,0,0,0,0
F2RL1,2016,3239,1573,2917
CRHBP,37,2,16,21
SNORA47,0,1,1,0
AGGF1,2966,3477,3356,3708
ZBED3,450,587,532,307
WDR41,1155,1713,1269,1765
OTP,6,0,0,0
SCAMP1-AS1,406,580,408,480
DMGDH,276,197,338,158
BHMT,13,10,45,4
JMY,2132,1997,2659,2150
PAPD4,1386,1720,2008,2169
MTX3,1552,1863,2828,2057
THBS4,207,133,137,568
CTD-2201I18.1,6,1,11,12
CRSP8P,253,359,457,459
SPZ1,0,0,0,0
LOC644936,7,7,9,9
ZFYVE16,2245,2776,3076,2654
MTRNR2L2,4,16,15,4
DHFR,127,274,89,154
ANKRD34B,0,2,0,0
RASGRF2-AS1,0,2,0,0
ZCCHC9,603,650,829,974
CKMT2-AS1,401,687,366,375
CKMT2,66,178,107,84
ACOT12,1,1,4,2
RPS23,11993,15538,24659,22044
ATP6AP1L,55,130,75,127
LINC01338,0,0,4,0
MIR3977,0,0,0,0
SCARNA18,0,0,0,0
TMEM167A,8501,10771,8888,10598
MIR3607,1,4,1,8
COX7C,6154,8398,8779,11679
LOC100505878,0,0,0,0
MIR4280,0,0,0,0
CCNH,1484,2278,1817,2398
LOC102546226,0,0,2,0
MIR9-2,0,0,0,0
MIR3660,0,0,0,0
MBLAC2,698,720,1048,721
LOC731157,4,12,9,19
CETN3,882,1048,1212,1594
LYSMD3,2357,2146,2565,2460
ARRDC3,2761,1661,3229,5514
LUCAT1,37,0,4,65
MIR2277,0,0,0,0
POU5F2,0,0,0,0
TTC37,9966,12631,12595,11740
GPR150,18,18,33,28
RFESD,143,160,140,136
SPATA9,13,13,10,12
RHOBTB3,10834,10162,12776,10986
C5orf27,20,17,43,45
MIR583,0,0,0,0
PCSK1,35789,67957,43116,58385
ERAP1,2137,2263,2124,3732
ERAP2,63,723,1069,897
RIOK2,1316,1580,1969,1765
RGMB-AS1,35,42,26,31
RGMB,1500,2280,1954,1623
CHD1,1794,2027,2335,2272
LOC100289230,109,124,99,105
CTD-2151A2.1,0,0,0,0
LOC100133050,2,0,0,1
ST8SIA4,389,302,675,199
LINC00492,4,0,0,0
GIN1,631,724,901,861
C5orf30,1629,1137,1521,1378
LOC102467212,0,0,1,0
RAB9BP1,0,0,0,0
LINC01023,52,84,97,103
PJA2,20505,20502,25179,21230
LOC100289673,0,0,0,0
SLC25A46,2665,2975,3334,3164
WDR36,1969,2193,2610,2562
TSLP,43,49,2,42
STARD4,1494,924,1103,1258
EPB41L4A-AS1,1400,2163,2344,1639
SNORA13,1,2,2,8
LOC101927023,2,0,0,0
EPB41L4A-AS2,33,123,18,58
LOC102467214,2,2,0,0
LOC102467216,0,0,0,0
REEP5,12297,15051,14571,15221
TSSK1B,10,10,20,26
TRIM36,90,100,57,93
CCDC112,571,713,710,724
FEM1C,1755,1994,2039,2284
TICAM2,5,12,12,7
LOC102467217,0,0,0,0
CDO1,597,396,521,752
ATG12,2240,1962,2636,2483
ARL14EPL,0,0,0,0
LOC101927190,0,0,0,0
CTB-118N6.3,13,13,15,10
LOC102467223,0,0,0,0
LOC100505811,0,2,0,1
LOC102467225,0,0,2,0
MIR1244-1+MIR1244-2+MIR1244-3,2,4,3,7
HSD17B4,5775,8486,5782,8123
FAM170A,2,0,2,0
LOC102467226,0,0,0,0
FTMT,0,0,0,0
SRFBP1,547,736,821,874
LOX,105,37,444,324
ZNF474,8,0,2,6
MGC32805,0,0,0,0
PPIC,791,1690,459,2325
PRDM6,2,3,2,14
LOC102546228,0,0,0,0
LOC101927488,0,0,0,0
ALDH7A1,1638,2433,1590,2673
TEX43,0,0,0,0
LMNB1,291,382,416,507
C5orf63,204,275,219,359
CTXN3,0,0,0,0
SLC12A2,1679,2339,1662,3951
ISOC1,2047,2496,2992,2894
MIR4633,0,0,0,0
MIR4460,0,0,0,0
KIAA1024L,0,0,0,0
HINT1,11320,11133,13271,16131
LYRM7,2383,2420,3472,2207
CSF2,10,0,0,42
IL3,0,0,0,0
P4HA2-AS1,107,148,104,231
P4HA2,4623,4643,3319,8507
MIR6830,0,0,0,0
SLC22A4,81,76,138,158
LOC553103,114,101,99,112
MIR3936,28,27,23,12
C5orf56,137,96,109,133
IRF1,847,990,807,2573
RAD50,4528,5989,5710,7115
IL5,0,0,0,0
KIF3A,3323,3068,4135,2813
SEPT8,2698,2708,2563,3464
CCNI2,18,51,25,63
IL4,1,0,3,8
IL13,2,0,4,2
GDF9,66,91,79,66
UQCRQ,3891,6168,4278,6790
SHROOM1,1600,1582,1598,2215
LEAP2,58,107,40,94
SOWAHA,1953,1576,2814,2376
ZCCHC10,839,855,1170,1207
HSPA4,8830,12184,10667,11179
MIR1289-2,0,0,0,0
VDAC1,7105,6536,7044,9044
TCF7,56,101,54,213
SKP1,10958,12340,12900,16023
PPP2CA,9258,10322,11150,11836
MIR3661,65,76,68,73
CDKN2AIPNL,909,1258,1062,1408
LOC102546229,0,0,0,0
UBE2B,2927,3666,4295,4405
JADE2,4430,4451,5284,5483
LOC101927934,78,53,91,111
SEC24A,2924,4020,3126,3722
C5orf24,5101,4615,6679,5762
DDX46,3326,4574,4178,4728
CATSPER3,17,40,25,38
PCBD2,429,719,626,698
MIR4461,0,1,0,0
PITX1,2,4,0,4
C5orf66-AS1,0,0,0,0
C5orf66-AS2,0,0,0,0
H2AFY,8366,9300,9846,11310
C5orf20,2,0,0,0
NEUROG1,0,0,0,0
TIFAB,0,0,0,0
CXCL14,2,10,0,0
LOC340074,0,0,0,0
IL9,0,0,0,0
SLC25A48,5,0,0,0
LECT2,0,0,0,0
SMAD5-AS1,6,7,9,10
SMAD5,4962,4592,5873,5034
VTRNA2-1,0,0,0,0
MIR874,0,0,0,0
HNRNPA0,7230,7251,8821,9372
MYOT,12,50,22,43
NPY6R,4,1,0,2
NME5,316,633,514,437
WNT8A,0,0,2,0
CDC23,1356,1617,1952,2213
GFRA3,10,10,12,19
KIF20A,26,98,31,39
FAM53C,2206,2254,2778,2853
ETF1,5636,6557,7014,7426
REEP2,2380,3597,2780,2205
EGR1,536,519,593,1637
SNORD63,1,2,2,3
HSPA9,15414,22279,23285,22817
LRRTM2,76,77,84,180
MATR3,18156,21962,23192,23674
SNHG4,4,10,12,0
SNORA74A,0,0,0,2
SLC23A1,17,7,3,17
DNAJC18,1632,1622,2288,1782
PROB1,85,24,68,47
MZB1,0,0,0,2
PAIP2,7244,7924,8560,8436
SPATA24,78,96,73,93
TMEM173,187,107,366,483
UBE2D2,4624,5804,6389,5940
CXXC5,2635,2932,3693,3828
LOC101929696,0,5,0,0
PURA,2504,1759,3196,2542
LINC01024,137,228,196,189
IGIP,2035,1382,2635,2367
PFDN1,1909,2305,2587,3014
SLC4A9,0,6,2,9
APBB3,760,852,1055,1165
SRA1,1407,1974,1599,2188
EIF4EBP3,14,39,16,68
SLC35A4,3233,3469,3697,5432
MIR6831,10,14,11,17
CD14,966,1423,904,2583
ZMAT2,4038,4958,5125,5997
WDR55,1196,1270,1305,1952
HARS2,1587,1691,1809,2370
VTRNA1-2,0,0,2,8
DND1,294,301,265,295
HARS,2248,2223,2630,3330
NDUFA2,1736,2284,1869,2996
TMCO6,320,360,301,462
VTRNA1-3,8,3,4,41
VTRNA1-1,0,0,0,2
IK,2593,3498,3571,4710
MIR3655,0,0,0,0
PCDHB1,5,2,20,6
PCDHB2,148,58,62,84
PCDHB4,1454,873,757,1351
PCDHB3,438,336,354,525
LOC101926905,2,0,2,3
PCDHB18,42,32,38,44
PCDHB13,167,242,239,202
PCDHB12,252,241,178,236
PCDHB11,287,190,112,164
PCDHB10,395,384,200,329
PCDHB17,16,7,2,6
PCDHB19P,10,24,20,9
PCDHB15,322,148,202,337
PCDHB8,169,197,232,94
PCDHB7,336,194,95,274
PCDHB6,187,145,86,175
PCDHB9,205,173,103,226
PCDHB14,407,455,492,426
PCDHB5,687,1155,723,963
PCDHB16,698,780,563,1352
TAF7,8889,10723,9345,12583
SLC25A2,1,0,0,4
PCDHGB5,182,237,249,212
PCDHGC5,8,0,2,5
PCDHGC4,68,40,24,41
PCDHGB6,118,215,176,211
PCDHGA9,59,63,85,80
PCDHGA8,15,39,13,23
PCDHGA12,41,71,42,75
PCDHGB8P,0,6,1,8
PCDHGA11,36,59,60,70
PCDHGC3,1062,1390,947,1701
PCDHGB7,180,295,372,307
PCDHGA10,50,70,52,69
LOC100505658,0,0,0,6
RELL2,670,651,619,509
FCHSD1,820,585,710,1194
HDAC3,2256,2525,2452,2935
PCDH1,1957,2181,2108,3797
LOC729080,5,5,10,10
RNF14,4292,3991,4446,4492
PCDH12,154,39,420,103
KIAA0141,1760,1465,2297,2291
GNPDA1,4692,3892,6349,6380
NDFIP1,20804,22238,25302,22719
SPRY4,645,316,746,926
FGF1,58,46,56,120
LOC101926975,2,0,0,2
ARHGAP26-AS1,0,0,0,0
MIR5197,0,0,0,0
HMHB1,0,0,0,0
YIPF5,3275,4610,4065,4131
PRELID2,246,373,268,375
GRXCR2,0,0,0,0
PLAC8L1,4,2,5,1
LARS,7044,8923,8932,9528
POU4F3,10,0,0,4
GPR151,0,0,0,0
PPP2R2B-IT1,0,0,0,0
JAKMIP2-AS1,2,2,0,0
C5orf46,0,4,0,15
SCGB3A2,0,2,0,0
SPINK1,9279,47161,8556,25140
SPINK14,0,0,0,0
SPINK13,1,1,0,0
SPINK7,2,0,0,0
FBXO38,2451,2394,2548,2948
ADRB2,151,119,153,114
LOC255187,0,0,0,0
PCYOX1L,929,965,1183,1697
IL17B,0,0,7,0
GRPEL2,1751,1510,2503,1858
AFAP1L1,58,16,341,96
MIR143HG,6,0,4,1
MIR145,0,0,0,0
MIR143,0,0,0,0
ARHGEF37,1423,1901,2384,1872
TIGD6,668,779,803,847
SLC26A2,2015,2711,2529,2184
LOC644762,116,105,98,102
CSF1R,130,60,142,118
PDGFRB,3252,339,3949,4777
SLC6A7,0,0,0,2
CAMK2A,0,1,6,8
ARSI,16,6,16,109
TCOF1,1583,1498,1647,2232
CD74,3903,3839,2999,8487
RPS14,13260,18141,16279,31358
NDST1,3976,3338,4794,4966
LOC102546298,22,16,17,19
SYNPO,4656,3584,5650,11625
MYOZ3,8,2,2,4
SMIM3,229,157,199,431
DCTN4,7763,7568,9859,7600
ZNF300P1,79,151,165,139
ZNF300,155,302,187,365
IRGM,0,0,0,1
TNIP1,2820,4552,2882,8496
GPX3,27096,24983,20633,54610
ANXA6,13826,10350,16635,16623
SLC36A3,0,2,1,1
GM2A,4305,3517,4353,6377
SLC36A2,0,0,1,0
FAT2,12,11,22,30
MIR6499,0,0,0,0
SPARC,5305,895,8219,7855
CTB-113P19.1,4,0,14,10
G3BP1,7139,8108,8909,7433
LOC100652758,43,179,118,178
FAM114A2,1081,1645,1411,1675
MFAP3,2222,2168,2557,2787
SAP30L,2458,2203,3072,2484
SAP30L-AS1,14,10,30,33
HAND1,0,0,0,0
MIR3141,0,0,0,0
FAXDC2,308,446,367,184
CNOT8,2446,2932,2923,3534
MRPL22,1104,1217,1526,1849
KIF4B,2,7,4,2
PPP1R2P3,180,221,241,254
HAVCR1,5,0,4,21
HAVCR2,42,38,85,59
MED7,695,793,1059,1070
FAM71B,0,0,0,0
FNDC9,42,8,14,36
ADAM19,100,22,111,141
SOX30,31,14,8,14
C5orf52,0,0,0,0
CLINT1,6884,9767,8418,9362
THG1L,280,224,355,494
LSM11,192,80,162,168
LOC101927740,2,0,2,0
UBLCP1,1107,1515,1353,1565
IL12B,1,2,6,4
LOC285626,0,0,6,2
LOC285627,0,0,0,0
TTC1,2142,2746,2575,3429
CCNJL,88,32,33,68
PTTG1,64,113,87,191
ZBED8,596,647,713,773
MIR3142,0,0,0,0
SLU7,4289,4716,5735,5781
MIR146A,0,0,0,1
LOC285629,176,256,125,134
GABRA6,0,0,0,0
GABRA1,57,180,102,31
GABRG2,369,679,748,251
HMMR,58,75,55,118
CCNG1,6139,5000,7153,7317
NUDCD2,1150,1556,1310,1600
HMMR-AS1,0,1,0,3
MAT2B,1966,2419,2292,3207
LOC102546299,0,0,1,0
LOC101927835,0,0,6,0
CTB-7E3.1,0,0,0,0
CTB-178M22.2,2,12,8,20
MIR103B1,0,0,0,0
PANK3,2161,1692,2533,2200
MIR103A1,0,0,0,0
RARS,2989,3974,3678,4903
FBLL1,996,616,572,971
MIR218-2,0,0,0,0
CTB-174D11.1,0,0,2,0
MIR585,0,0,0,0
SPDL1,389,481,632,580
MIR378E,0,0,0,0
FOXI1,0,2,2,1
LCP2,54,11,129,79
C5orf58,0,8,0,4
LINC01187,0,0,0,0
CTD-2270F17.1,0,0,0,0
LINC01366,0,0,2,4
KCNMB1,2,0,0,0
GABRP,61,10,371,120
TLX3,0,0,0,0
NPM1,6588,7396,10421,9711
FGF18,2,6,6,33
MIR3912,0,0,0,0
SMIM23,0,0,0,1
EFCAB9,0,2,1,0
DUSP1,1488,1977,1573,2524
LOC101928093,2,1,0,4
SNORA74B,0,0,0,2
ATP6V0E1,9290,10429,8753,14421
RPL26L1,497,653,640,1024
LOC100268168,36,34,34,54
BNIP1,459,568,542,732
NKX2-5,0,0,0,2
MIR8056,0,0,0,0
LOC285593,8,2,18,15
BOD1,2063,2149,2460,2748
LOC101928154,0,0,0,0
CPEB4,6719,5254,9212,5862
C5orf47,3,0,8,2
HMP19,1647,385,1833,1019
MSX2,4,22,2,19
MIR4634,0,0,0,0
FLJ16171,0,0,0,0
DRD1,8,0,0,18
SFXN1,2983,3043,3088,3874
THOC3,254,193,182,279
LOC100996385,7,0,2,0
LOC100507387,5,20,13,0
LOC643201,16,24,23,17
KIAA1191,4872,5755,6224,7154
CLTB,1783,2061,2102,3233
HIGD2A,1439,1561,1655,2383
ARL10,541,243,415,258
NOP16,391,535,439,817
CDHR2,161,182,226,588
RNF44,1421,1489,1264,1852
TSPAN17,1901,2286,1990,3430
SNCB,764,727,745,706
MIR4281,0,0,0,0
EIF4E1B,238,339,238,140
LOC102577424,55,67,80,35
HK3,6,9,6,22
FGFR4,684,602,642,1895
ZNF346,612,578,740,833
MXD3,105,155,182,212
RGS14,389,299,422,289
RAB24,2092,2906,2885,3176
PRELID1,804,1108,1010,1726
LMAN2,4756,7752,5018,10995
PRR7,221,198,257,325
DOK3,69,77,66,84
F12,174,185,36,284
DBN1,2242,3184,1578,4406
DDX41,2648,2817,2854,4429
PDLIM7,404,325,240,1375
PRR7-AS1,1,4,4,6
GRK6,779,780,856,1155
PFN3,0,0,0,0
B4GALT7,1170,1241,1003,1759
TMED9,7651,9910,6864,12653
FAM153A,10,1,2,2
LOC728554,34,103,188,322
PROP1,0,0,0,3
N4BP3,388,274,460,290
RMND5B,1212,1235,1339,1711
NHP2,1643,2004,1759,3161
GMCL1P1,76,85,73,61
HNRNPAB,4155,4637,4546,6287
PHYKPL,754,1007,795,1449
CLK4,758,657,820,778
ZNF354A,636,663,730,640
AACSP1,1,0,2,2
ZNF354B,282,250,383,294
ZFP2,184,231,229,217
GRM6,8,27,6,12
ZNF354C,338,217,340,270
ZNF879,318,313,424,376
RUFY1,2782,3333,3686,4332
LOC101928445,31,46,32,40
CANX,51457,54225,65037,52801
CBY3,16,20,30,13
C5orf60,0,1,1,0
MGAT4B,6382,7642,6689,12582
SQSTM1,40086,30693,36730,71723
C5orf45,208,250,271,286
MIR1229,44,82,32,78
LTC4S,36,23,18,37
MIR6165,0,0,0,0
